title,abstract,url
Real-World Experience with COVID-19  Including Direct COVID-19 Antigen Testing and Monoclonal-Antibody Bamlanivimab in a Rural Critical Access Hospital in South Dakota,This article summarizes the experiences of COVID-19 patients diagnosed and treated at Faulkton Area Medical Center  FAMC   a rural critical access facility in South Dakota  during three periods of COVID-19  Retrospective chart review was used to classify COVID-19 patients into three groups by time frame  1 Early March 2020  with the arrival of COVID-19 to South Dakota  until August 31  2020  2 September 1  2020  with the use of rapid result direct COVID-19 virus antigen testing  through November 24 2020  which took place during our COVID-19 surge   and 3 November 25  2020  the start of bamlanivimab infusions on high-risk patients with COVID-19  throughFebruary15  2021  the cutoff for this review  Faulk County had higher COVID-19 case rates and COVID-19 death rates than South Dakota in general  Final review of the data showed stable overall hospitalization rates at FAMC in each of these time periods  Data was broken down by age and not other demographics due to small patient population size and limited ability to blind data  Breakdown of the data showed the hospitalization rates in the 60-90  age groups did decrease from 33 3 percent to 22 2 percent  following bamlanivimab use  Absolute risk reduction 11 1 percent  Relative risk reduction of hospitalization from November 25  2020 through February 15  2021 compared to September 1  2020 through November 25  2020 was 0 33   odds ratio   0 57   CI  95 percent  0 21-1 58   This is not statistically significant  NNT 9  Data is limited by small overall numbers of patients and lack of data in Faulkton area residents who sought medical care outside the local facility,https://pubmed.ncbi.nlm.nih.gov/35008137
Successful outcome of pre-engraftment COVID-19 in an HCT patient  impact of targeted therapies and cellular immunity,Coronavirus disease 2019  COVID-19   caused by severe acute respiratory syndrome coronavirus 2  SARS-CoV-2  infection has emerged as a global pandemic that upended existing protocols and practices  including those for allogeneic hematopoietic stem cell transplantation  HCT   Here we describe the successful clinical course and multiple key interventions administered to an acute lymphoblastic leukemia patient  who tested SARS-CoV-2 positive by RT-PCR on day -1 of matched unrelated donor  SARS-CoV-2 IgG negative  T-cell-replete HCT  This experience allowed for implementing a virologic and immunomonitoring panel to characterize the impact of SARS-CoV-2 on the recipient s nascent humoral and cellular immune response  The finding of robust  functional  and persistent levels of SARS-CoV-2 specific T-cells  starting early after transplant was unexpected  and in combination with the clinical strategy may have contributed to the favorable outcome  Additionally  it is plausible that pre-existing cross-reactive endemic coronavirus immunity in the allogeneic graft reduced recipient susceptibility to COVID-19 disease  This case supports the critical role that T-cell responses may play in mitigating SARS-CoV-2 infection  even in the context of transplant immunosuppression  in which reconstitution of humoral response is commonly delayed  Interventional approaches to transfer SARS-CoV-2-specific cellular immunity such as HCT donor vaccination and adaptive cellular therapy could be of benefit,https://pubmed.ncbi.nlm.nih.gov/35008104
The impact of COVID-19 on oncology professionals-one year on  lessons learned from the ESMO Resilience Task Force survey series,BACKGROUND  COVID-19 has had a significant impact on the well-being and job performance of oncology professionals globally  The European Society for Medical Oncology  ESMO  Resilience Task Force collaboration set out to investigate and monitor well-being since COVID-19 in relation to work  lifestyle and support factors in oncology professionals 1 year on since the start of the pandemic  METHODS  An online  anonymous survey was conducted in February March 2021  Survey III   Key outcome variables included risk of poor well-being or distress  expanded Well-Being Index   feeling burnout  single item from expanded Well-Being Index   and job performance since COVID-19  Longitudinal analysis of responses to the series of three surveys since COVID-19 was carried out  and responses to job demands and resources questions were interrogated  SPSS V 26 0 V 27 0 and GraphPad Prism V9 0 were used for statistical analyses  RESULTS  Responses from 1269 participants from 104 countries were analysed in Survey III  55   n   699 1269  female  54   n   686 1269  >40 years  and 69   n   852 1230  of white ethnicity  There continues to be an increased risk of poor well-being or distress  n   464 1169  40   and feeling burnout  n   660 1169  57   compared with Survey I  25  and 38  respectively  P < 0 0001   despite improved job performance  Compared with the initial period of the pandemic  more participants report feeling overwhelmed with workload  45  versus 29   P < 0 0001   There remain concerns about the negative impact of the pandemic on career development training  43    job security  37    and international fellowship opportunities  76    Alarmingly  25   n   266 1086  are considering changing their future career with 38   n   100 266  contemplating leaving the profession  CONCLUSION  Oncology professionals continue to face increased job demands  There is now significant concern regarding potential attrition in the oncology workforce  National and international stakeholders must act immediately and work closely with oncology professionals to draw up future-proof recovery plans,https://pubmed.ncbi.nlm.nih.gov/35007996
ICU admission and mortality classifiers for COVID-19 patients based on subgroups of dynamically associated profiles across multiple timepoints,The coronavirus disease 2019  COVID-19  which is caused by severe acute respiratory syndrome coronavirus type 2  SARS-CoV-2  is consistently causing profound wounds in the global healthcare system due to its increased transmissibility  Currently  there is an urgent unmet need to identify the underlying dynamic associations among COVID-19 patients and distinguish patient subgroups with common clinical profiles towards the development of robust classifiers for ICU admission and mortality  To address this need  we propose a four step pipeline which   i  enhances the quality of multiple timeseries clinical data through an automated data curation workflow   ii  deploys Dynamic Bayesian Networks  DBNs  for the detection of features with increased connectivity based on dynamic association analysis across multiple points   iii  utilizes Self Organizing Maps  SOMs  and trajectory analysis for the early identification of COVID-19 patients with common clinical profiles  and  iv  trains robust multiple additive regression trees  MART  for ICU admission and mortality classification based on the extracted homogeneous clusters  to identify risk factors and biomarkers for disease progression  The contribution of the extracted clusters and the dynamically associated clinical data improved the classification performance for ICU admission to sensitivity 0 83 and specificity 0 83  and for mortality to sensitivity 0 74 and specificity 0 76  Additional information was included to enhance the performance of the classifiers yielding an increase by 4  in sensitivity and specificity for mortality  According to the risk factor analysis  the number of lymphocytes  SatO2  PO2 FiO2  and O2 supply type were highlighted as risk factors for ICU admission and the percentage of neutrophils and lymphocytes  PO2 FiO2  LDH  and ALP for mortality  among others  To our knowledge  this is the first study that combines dynamic modeling with clustering analysis to identify homogeneous groups of COVID-19 patients towards the development of robust classifiers for ICU admission and mortality,https://pubmed.ncbi.nlm.nih.gov/35007991
Clinical evaluation of nasopharyngeal  midturbinate nasal and oropharyngeal swabs for the detection of SARS-CoV-2,In the setting of supply chain shortages of nasopharyngeal  NP  swabs  we sought to compare the ability of nasopharyngeal  midturbinate nasal  and oropharyngeal swabs  NPS  MTS  and OPS  to detect SARS-CoV-2  Community and hospitalized participants post-COVID-19 diagnosis were swabbed and tested for SARS-CoV-2 by PCR  Thirty-six participants had all 3 swabs collected  Using detection at any site as the standard  the percent positive agreements were 90   95  CI 74 4-96 5   80   70 3-94 7  and 87   62 7-90 5  for NPS  MTS  and OPS  respectively  Subsequently  43 participants had OPS and NPS collected  Thirty-nine were positive with a percent positive agreement of 82 1   95  CI 67 3-91 0  for OPS and 87 2   73 3-94 4  for NPS  Combining all 79 patients tested  67 were positive at either site with a positive agreement was 86 5   76 4-92 7  for OPS and 91 1   81 8-95 8  for NPS  OPS are an acceptable alternative to NPS for the detection of SARS-CoV-2 infections,https://pubmed.ncbi.nlm.nih.gov/35007959
Safer in care  A pandemic-tested model of integrated HIV OUD care,BACKGROUND  Rural  poor  persons with HIV  PWH  and substance use are among the most vulnerable to SARS-CoV-2 and related health service disruptions  The objective of the study was to evaluate the health outcomes and utilization of PWH at an Outpatient-based Opioid Treatment  OBOT  Clinic  METHODS  We evaluated a clinic-based cohort at the University of Alabama at Birmingham HIV clinic from November 2018 to May 2021  We compared HIV outcomes of OBOT patients  who are highly vulnerable  to the overall clinic  We stratified OBOT patients according to comorbid stimulant use disorder and compared clinic utilization and viral load suppression in the 6 months before and after the safer at home mandate  May 2020  in Alabama  RESULTS  Of 3857 PWH  57 were referred to OBOT  48 attended  45 were initiated on buprenorphine  and 35 had a VL< 200 in the last 6 months  Relative to the overall HIV clinic  OBOT patients were significantly less likely to remain VL suppressed  90  vs 78   p   0 01   More patients were suppressed after OBOT linkage  81   than prior  73    For those referred before May 2020  there was no change in viral suppression before and after the safer at home order  75    Although new OBOT referrals did not increase during the pandemic  the number of visits attended per month did increase from a median of 3-4 per patient  CONCLUSIONS  Unlike many PWH who faced access barriers  PWH receiving care at OBOT did not fall out of care but increased healthcare utilization and maintained viral suppression despite the public health emergency,https://pubmed.ncbi.nlm.nih.gov/35007957
The effect of Covid-19 in digital media use of Finnish physicians - Four wave longitudinal panel survey,BACKGROUND  Covid-19 pandemic has boosted digitalization in healthcare  as mobility restrictions and social distancing rules have made healthcare providers to adopt digital tools to replace or complement face-to-face interactions  PURPOSE  We discuss the effects of Covid-19 pandemic on physicians  use of digital media  We examine whether Covid-19 conditions have changed how physicians use internet resources for information search  how they engage in social media  and their attitude towards online events  BASIC PROCEDURES  The study was done as a longitudinal panel survey in four waves  The sample was a panel including active physicians in Finland  The panel was updated annually  Identical surveys were administered in 2018  2019  2020 and 2021  Spring 2020 was the time when Finland executed mobility restrictions and re-organization of healthcare because of pandemic  Comparing results of the survey before and after Covid-19 restrictions gives us a unique opportunity to do comparative analysis of Covid-19 effects  MAIN FINDINGS  Our results show that the use of digital media for information search stayed relatively stable without statistically significant change during the four-year period covered in the study  The use of social media rose steadily from 2018 to 2021 with no significant difference in the trend  However  there was a significant change in the attitude of Finnish physicians on online events  Year 2021  the attitude remained in this more positive level  PRINCIPAL CONCLUSIONS  As use of digital media including social media was already high prior Covid-19 in Finland  our results do not show significant change because of special circumstances introduced in 2020  However  our results show that the attitudes towards online events turned more positive during Covid-19 related restrictions  This could indicate that Covid-19 era has triggered a change that might continue also when pandemic related restrictions will be removed,https://pubmed.ncbi.nlm.nih.gov/35007925
Scanning the RBD-ACE2 molecular interactions in Omicron variant,The emergence of new SARS-CoV-2 variants poses a threat to the human population where it is difficult to assess the severity of a particular variant of the virus  Spike protein and specifically its receptor binding domain  RBD  which makes direct interaction with the ACE2 receptor of the human has shown prominent amino acid substitutions in most of the Variants of Concern  Here  by using all-atom molecular dynamics simulations we compare the interaction of Wild-type RBD ACE2 receptor complex with that of the latest Omicron variant of the virus  We observed a very interesting diversification of the charge  dynamics and energetics of the protein complex formed upon mutations  These results would help us in understanding the molecular basis of binding of the Omicron variant with that of SARS-CoV-2 Wild-type,https://pubmed.ncbi.nlm.nih.gov/35007846
Implications of SARS-CoV-2 infection on the clinical  hematological  and inflammatory parameters in COVID-19 patients  A retrospective cross-sectional study,BACKGROUND  The current coronavirus pandemic  COVID-19  was caused by severe acute respiratory syndrome virus 2  SARS-CoV-2   COVID-19 is characterized by atypical pneumonia  mild colds  and more severe illnesses  such as severe acute respiratory distress  thrombosis  organ failure  and various secondary bacterial and fungal infections  Notably  the severity of COVID-19 in different age groups is not well known  and the validity of clinical laboratory data remains unclear  METHODS  In this retrospective cross-sectional study  we examined differential regulation of clinical  hematologic  and inflammatory biomarkers in COVID-19 patients  We divided 104 COVID-19 patients into five different groups according to age  0-17  18-45  46-65  66-79  and >80 years   Baseline data  sex  comorbidities  intensive care admission  and medications   hematologic markers  liver  and renal function tests  coagulation  and inflammatory markers were examined in these groups  Receiver operator characteristic  ROC  analysis was used to determine the optimal threshold for predicting COVID-19 biological markers  RESULTS  We found that the highest percentage  45   of COVID-19 patients was in the age group of 46-65 years  The hematologic parameters  WBC  HB  and PLT  were normal between the patient groups  The area under the curve in ROC analysis showed significant differences in the levels of creatine  GGT  BUN  CRP  D-dimer  ferritin  AST  and procalcitonin between the patients of age groups 46-65 and 66-79 years  Renal biomarkers were significantly high in most patients  regardless of age  In contrast  the liver biomarkers  did not differ significantly between patient groups  CONCLUSION  The main finding of our study is that laboratory parameters such as GGT  creatinine  BUN  CRP  procalcitonin  ferritin and D-dimer were differentially regulated in COVID -19 patients of different age groups  Importantly  these laboratory parameters may help as clinical predictors to assess the severity of the disease in the population  We conclude here that age is an important factor influencing COVID-19 severity,https://pubmed.ncbi.nlm.nih.gov/35007842
Merbromin is a mixed-type inhibitor of 3-chyomotrypsin like protease of SARS-CoV-2,3-chyomotrypsin like protease  3CLpro  has been considered as a promising target for developing anti-SARS-CoV-2 drugs  Herein  about 6000 compounds were analyzed by high-throughput screening using enzyme activity model  and Merbromin  an antibacterial agent  was identified as a potent inhibitor of 3CLpro  Merbromin strongly inhibited the proteolytic activity of 3CLpro but not the other three proteases Proteinase K  Trypsin and Papain  Michaelis-Menten kinetic analysis showed that Merbromin was a mixed-type inhibitor of 3CLpro  due to its ability of increasing the KM and decreasing the Kcat of 3CLpro  The binding assays and molecular docking suggested that 3CLpro possessed two binding sites for Merbromin  Consistently  Merbromin showed a weak binding to the other three proteases  Together  these findings demonstrated that Merbromin is a selective inhibitor of 3CLpro and provided a scaffold to design effective inhibitors of SARS-CoV-2,https://pubmed.ncbi.nlm.nih.gov/35007835
